Provider name,AvgNo0_ Salary_Midpoint,Sum_Graduate_Count
Wigan and Leigh College,55000,40
The Ashridge (Bonar Law Memorial) Trust,55000,40
Multiverse,55000,20
University Centre Quayside Limited,55000,40
University of London (Institutes and activities),55000,40
Leeds College of Building,44750,80
Furness College,44500,120
University College of Estate Management,41937.5,780
Northeastern University London,40250,40
City College Plymouth,40250,80
Blackpool and the Fylde College,40173.9130434783,670
"St George's, University of London",39250,1980
Kaplan Open Learning (Essex) Limited,39071.4285714286,160
BPP University,37910.2564102564,730
The London College,37833.3333333333,160
The University of Exeter,37758.6206896552,11700
London School of Economics and Political Science,37727.2727272727,1900
"Imperial College of Science, Technology and Medicine",37727.2727272727,3540
University of Cumbria,37640.625,3850
The University of Lincoln,37553.5714285714,5670
Nelson and Colne College,37500,20
Warwickshire College,37500,260
University of Northumbria at Newcastle,37453.125,8490
Solent University,37442.3076923077,3010
Aston University,37363.6363636364,5180
University of South Wales,37361.5384615385,4070
Robert Gordon University,37250,4360
"University of the West of England, Bristol",37181.8181818182,11590
The University of Salford,37161.2903225806,7200
Edinburgh Napier University,37125,3980
The Manchester Metropolitan University,37102.9411764706,15390
Sheffield Hallam University,37102.9411764706,10960
London South Bank University,37102.9411764706,5380
Coventry University,37102.9411764706,6760
Liverpool John Moores University,37102.9411764706,10950
University of Hertfordshire,37102.9411764706,4680
The Nottingham Trent University,37102.9411764706,16460
The Royal Veterinary College,37062.5,720
The University of Warwick,37018.5185185185,9980
Birmingham City University,37014.7058823529,8830
Glasgow Caledonian University,37000,6680
The University of Reading,36960,5570
Birkbeck College,36940.6779661017,1070
Anglia Ruskin University,36909.0909090909,8520
The University of Strathclyde,36777.7777777778,6480
Staffordshire University,36727.2727272727,5730
Ulster University,36727.2727272727,7600
The University of Central Lancashire,36705.8823529412,4810
Leeds Beckett University,36685.7142857143,6740
The University of Portsmouth,36685.7142857143,8000
The University of Greenwich,36666.6666666667,5110
The University of Westminster,36630.7692307692,3680
De Montfort University,36627.2727272727,6640
The University of East London,36609.375,3650
Bournemouth University,36594.3396226415,5760
The University of Bolton,36581.6326530612,1900
The University of Sunderland,36532.2580645161,4190
Buckinghamshire New University,36456.5217391304,4510
University of Wales Trinity Saint David,36444.4444444444,1750
The University of Kent,36421.875,5210
The University of St. Andrews,36380,3080
The University of Sheffield,36357.1428571429,8540
University of Derby,36308.8235294118,8280
The University of Dundee,36266.6666666667,4670
University of Nottingham,36208.3333333333,14550
"City, University of London",36208.3333333333,3480
Teesside University,36208.3333333333,4360
The University of Essex,36208.3333333333,3600
The University of Hull,36208.3333333333,3640
The University of York,36208.3333333333,8400
Newcastle University,36208.3333333333,9610
"King's College London",36208.3333333333,7020
Cardiff University,36208.3333333333,11090
The University of Surrey,36208.3333333333,4690
The University of Bath,36208.3333333333,7000
The University of Lancaster,36208.3333333333,6740
The University of Sussex,36208.3333333333,4580
Brunel University London,36208.3333333333,2440
The University of Birmingham,36208.3333333333,12800
Queen Mary University of London,36208.3333333333,6640
The University of Leeds,36208.3333333333,13010
The University of Southampton,36208.3333333333,7620
The University of Oxford,36208.3333333333,5180
Heriot-Watt University,36208.3333333333,2280
The University of Manchester,36208.3333333333,13040
University of Durham,36208.3333333333,9400
The University of Bristol,36208.3333333333,11110
University College London,36208.3333333333,5360
The University of West London,36208.3333333333,3200
Royal Holloway and Bedford New College,36208.3333333333,3450
The University of Cambridge,36208.3333333333,6260
The University of Brighton,36193.5483870968,4660
The University of Leicester,36192.3076923077,4350
The University of Edinburgh,36140,6840
Kingston University,36050,4640
The University of the West of Scotland,36020,4000
Loughborough University,36020,8840
The University of Aberdeen,36020,3350
The Open University,36008.9285714286,16060
New College Durham,36000,120
Wrexham University,35928.5714285714,620
Regent College London,35916.6666666667,240
Keele University,35900,3520
Total,35779.8913043478,710590
Roehampton University,35754.9019607843,1570
The University of Stirling,35739.1304347826,3010
The University of Winchester,35698.275862069,3810
The University of East Anglia,35685.1851851852,6600
University of Suffolk,35615.3846153846,2320
The University of Wolverhampton,35454.5454545455,4690
University of Chester,35428.5714285714,3350
London Metropolitan University,35420,2180
Middlesex University,35351.8518518519,3460
University of Plymouth,35351.8518518519,7070
The University of Glasgow,35351.8518518519,6780
"Queen's University Belfast",35321.4285714286,8150
ICON College of Technology and Management,35272.7272727273,220
Cardiff Metropolitan University,35272.7272727273,2790
Oxford Brookes University,35127.1186440678,4990
AECC University College,35100,200
The University of Liverpool,35018.5185185185,11000
Goldsmiths College,35000,1050
Edge Hill University,34958.3333333333,5590
Norland College,34928.5714285714,320
The University of Huddersfield,34921.0526315789,4830
University of the Highlands and Islands,34910.7142857143,1310
Swansea University,34847.8260869565,6660
SOAS University of London,34595.2380952381,760
Newbury College,34500,40
The University College of Osteopathy,34500,20
Weston College of Further and Higher Education,34250,280
The University of Bradford,34220,2960
"University of the Arts, London",34150,2460
University of Bedfordshire,34129.6296296296,2080
The University of Northampton,33884.6153846154,3720
Harper Adams University,33880.9523809524,1460
Canterbury Christ Church University,33857.1428571429,4000
"Queen Margaret University, Edinburgh",33850,1280
The University of Law,33754.9019607843,1080
Leeds Trinity University,33500,1960
The University of Buckingham,33115.3846153846,260
Arden University,33100,970
Escape Studios,33000,160
Nelson College London Ltd,33000,80
